epoch,g_loss,d_loss,l1_loss,perc_loss,val_ssim,val_psnr,val_lab_error,g_diff,param_changed_pct,lr,epoch_duration_s,l1,adv,perc,ssim_loss,chroma,feat,g_grad_norm,d_grad_norm,g_lr,d_lr,val_mae,val_rmse,val_sam,val_sat_ratio,val_hist_dist,duration_sec
88,100.50631131258878,0.3590965379368175,,,0.2318032074240998,11.263533075428542,29.71920639975777,,,,,0.377700357726126,2.034565539071054,4.586413623347427,0.7257451350038702,0.0326056847292365,9.027333808667732,338.9915583755031,2.1546593055580603,0.0002,0.0002,0.2269864888164584,0.2867061535739366,0.2269801525763293,0.7319958716131455,0.1180316367684352,141.61859130859375
89,98.63008654045336,0.3669540553381948,,,0.2294306049133812,11.295268394427591,30.88562437941908,,,,,0.3730886912707126,1.95108283144055,4.537019631356904,0.7216400803941669,0.0301455990947557,8.781885863795425,149.43774326208867,2.0658791917743105,0.0002,0.0002,0.2266999296635888,0.2869627765437078,0.2412904758193639,0.9179726013258184,0.138652726980117,141.23905301094055
90,97.49633867668383,0.3687544208584409,,,0.2305351888667272,11.180322998728832,30.749908021042465,,,,,0.3756077307643312,1.9248631838596229,4.594780413309733,0.7243958335934263,0.0303986852141943,8.436963445490056,153.00802788011956,2.350814865574692,0.0002,0.0002,0.232150464750535,0.2920360125642915,0.2414890336257785,0.8229051075834136,0.1294362755350116,141.63125109672546
91,97.17573408647016,0.3757548359307376,,,0.2295575541490949,11.391599133028,32.630591429811616,,,,,0.3800180610382195,1.909475892240351,4.635462746475682,0.727529193054546,0.0310481145300648,8.282341650760536,199.04325862075345,2.724184754039302,0.0002,0.0002,0.2234766023785042,0.2836882808354979,0.2661277112348119,1.1101604020795344,0.1387470736059063,141.73358607292175
92,95.96324092980588,0.3836210167769229,,,0.2091301646312521,10.986649582505892,32.01971224566412,,,,,0.3771245965451905,1.892200222159877,4.667821884155273,0.7266148906765562,0.0319695459509437,7.9849124590555824,219.13165181477865,2.849624298919331,0.0002,0.0002,0.2372023902791838,0.2987199535582984,0.2454717539708707,1.003272338952432,0.1368773100235164,142.22699213027954
93,95.31521611069188,0.3800716182499221,,,0.2226634538373467,11.014055859443197,31.06390270041354,,,,,0.3768827770695542,1.835573783787814,4.668664513212262,0.7229295857024916,0.0317401459948583,7.869208234729188,194.4251642862956,2.49682835557244,0.0002,0.0002,0.2370698641798349,0.2963578584473892,0.220386937760108,0.7759959164944441,0.1044273562105008,141.42262887954712
94,94.54363777854226,0.3784295027906244,,,0.2206672330142399,11.238111272204522,30.91979316626181,,,,,0.3741434935367468,1.8580281293753425,4.60199089050293,0.7173108718611977,0.0299513568029259,7.855561747695461,165.49205024025656,2.427574914151972,0.0002,0.0002,0.2283907276292087,0.2876855927472674,0.2401420325040817,1.0477790832519531,0.1154358040964581,141.7617702484131
95,94.41792556300308,0.3822293945334174,,,0.2239177310266974,11.232630319435502,31.427954913517617,,,,,0.3741288262786287,1.8445051178787693,4.623104872848049,0.7206709688360041,0.0311314591968601,7.787093145197088,194.95824617328063,2.5718021121892063,0.0002,0.0002,0.2293879689451036,0.2900660051313858,0.2602817114005541,1.321292850558318,0.1457691068936215,142.32823610305786
96,96.92012079412288,0.3699754018675197,,,0.2514265702423436,11.571559160115331,28.734101833577927,,,,,0.3762294789155324,1.9317346399480648,4.5870793573784105,0.7234172510378288,0.0325508123658823,8.33462197563865,365.5196079369748,2.4939964121038263,0.0002,0.0002,0.2206256855799499,0.2793420493269766,0.2091321818655429,0.5638184167819316,0.121862264499207,141.91819763183594
97,95.28957598137131,0.3719597149978984,,,0.2234007732828236,11.084977901181697,31.55408943432004,,,,,0.3725049078464508,1.8608708721218687,4.56383505156546,0.7183707638220354,0.0301251511907938,8.082640289537835,185.024953807484,2.265453977295847,0.0002,0.0002,0.233124343043599,0.2945003049999642,0.2408481654008673,1.0296446777588828,0.1351815412025656,142.5133044719696
